new,old
"Saint Louis University","Saint Louis"
"Seattle University","Seattle"
"Seton Hall University","Seton Hall"
"South Dakota State University","South Dakota St."
"Southern University, Baton Rouge","Southern"
"Southern Utah University","Southern Utah"
"Southeastern Louisiana University","Southeastern Louisiana"
"St. Bonaventure University","St. Bonaventure"
"St. John's University (New York)","St. John's (NY)"
"Stanford University","Stanford"
"Stephen F. Austin State University","SFA"
"Stony Brook University","Stony Brook"
"Syracuse University","Syracuse"
"Temple University","Temple"
"Tennessee Technological University","Tennessee Tech"
"Texas A&M University, College Station","Texas A&M"
"Texas Southern University","Texas Southern"
"The Ohio State University","Ohio St."
"The University of North Carolina at Charlotte","Charlotte"
"Towson University","Towson"
"Troy University","Troy"
"U.S. Military Academy","Army West Point"
"University at Albany","Albany"
"University at Buffalo, the State University of New York","Buffalo"
"University of Alabama","Alabama"
"University of Arizona","Arizona"
"University of Arkansas at Little Rock","Little Rock"
"University of Arkansas, Fayetteville","Arkansas"
"University of California, Berkeley","California"
"University of California, Davis","UC Davis"
"University of California, Los Angeles","UCLA"
"University of Central Arkansas","Central Arkansas"
"University of Central Florida","UCF"
"University of Colorado, Boulder","Colorado"
"University of Connecticut","UConn"
"University of Dayton","Dayton"
"University of Delaware","Delaware"
"University of Florida","Florida"
"University of Georgia","Georgia"
"University of Hawaii, Manoa","Hawaii"
"University of Idaho","Idaho"
"University of Illinois Urbana-Champaign","Illinois"
"University of Iowa","Iowa"
"University of Kansas","Kansas"
"University of Kentucky","Kentucky"
"University of Louisville","Louisville"
"University of Maine","Maine"
"University of Maryland, College Park","Maryland"
"University of Massachusetts, Amherst","Massachusetts"
"University of Miami (Florida)","Miami (FL)"
"University of Michigan","Michigan"
"University of Minnesota, Twin Cities","Minnesota"
"University of Mississippi","Ole Miss"
"University of Missouri, Columbia","Missouri"
"University of Nebraska, Lincoln","Nebraska"
"University of Nevada, Las Vegas","UNLV"
"University of North Carolina Asheville","UNC Asheville"
"University of North Carolina, Chapel Hill","North Carolina"
"University of Northern Colorado","Northern Colo."
"University of Northern Iowa","University of Northern Iowa"
"University of Notre Dame","Notre Dame"
"University of Oklahoma","Oklahoma"
"University of Oregon","Oregon"
"University of Pennsylvania","Penn"
"University of Portland","Portland"
"University of San Francisco","San Francisco"
"University of South Carolina, Columbia","South Carolina"
"University of South Dakota","South Dakota"
"University of South Florida","South Florida"
"University of Southern California","Southern California"
"University of Tennessee at Chattanooga","Chattanooga"
"University of Tennessee, Knoxville","Tennessee"
"University of Texas at Arlington","UT Arlington"
"University of Texas at Austin","Texas"
"University of Toledo","Toledo"
"University of Utah","Utah"
"University of Vermont","Vermont"
"University of Virginia","Virginia"
"University of Washington","Washington"
"University of Wisconsin-Green Bay","Green Bay"
"University of Wyoming","Wyoming"
"University of the Incarnate Word","Incarnate Word"
"Utah Valley University","Utah Valley"
"Villanova University","Villanova"
"Virginia Commonwealth University","VCU"
"Virginia Polytechnic Institute and State University","Virginia Tech"
"Wake Forest University","Wake Forest"
"Washington State University","Washington St."
"West Virginia University","West Virginia"
"Western Illinois University","Western Ill."
"Western Kentucky University","Western Ky."
"Wright State University","Wright St."
